product_key,product_sku,product_name,category_key,unit_cost
98,OFF-048,Draft Office Supplies 48,2,191.97
99,OFF-049,Clear Office Supplies 49,2,13.27
100,OFF-050,Paperline Office Supplies 50,2,179.76
101,FUR-001,Form Furniture 1,3,359.64
102,FUR-002,Studio Furniture 2,3,152.05
103,FUR-003,Harbor Furniture 3,3,210.74
104,FUR-004,Harbor Furniture 4,3,376.28
105,FUR-005,Studio Furniture 5,3,379.18
106,FUR-006,Form Furniture 6,3,67.71
107,FUR-007,Harbor Furniture 7,3,254.96
108,FUR-008,Form Furniture 8,3,189.45
109,FUR-009,Harbor Furniture 9,3,56.91
110,FUR-010,Studio Furniture 10,3,229.26
111,FUR-011,Harbor Furniture 11,3,17.15
112,FUR-012,Studio Furniture 12,3,157.42
113,FUR-013,Studio Furniture 13,3,25.29
114,FUR-014,Form Furniture 14,3,161.38
115,FUR-015,Studio Furniture 15,3,116.61
116,FUR-016,Harbor Furniture 16,3,190.66
117,FUR-017,Studio Furniture 17,3,168.86
118,FUR-018,Studio Furniture 18,3,184.33
119,FUR-019,Harbor Furniture 19,3,385.99
120,FUR-020,Studio Furniture 20,3,30.44
121,FUR-021,Harbor Furniture 21,3,399.35
122,FUR-022,Studio Furniture 22,3,409.06
123,FUR-023,Harbor Furniture 23,3,243.42
124,FUR-024,Form Furniture 24,3,221.42
125,FUR-025,Form Furniture 25,3,8.22
126,FUR-026,Form Furniture 26,3,159.9
127,FUR-027,Harbor Furniture 27,3,87.83
128,FUR-028,Studio Furniture 28,3,204.48
129,FUR-029,Studio Furniture 29,3,174.28
130,FUR-030,Form Furniture 30,3,80.15
131,FUR-031,Form Furniture 31,3,344.09
132,FUR-032,Form Furniture 32,3,55.05
133,FUR-033,Harbor Furniture 33,3,287.89
134,FUR-034,Form Furniture 34,3,32.38
135,FUR-035,Studio Furniture 35,3,37.26
136,FUR-036,Studio Furniture 36,3,177.4
137,FUR-037,Studio Furniture 37,3,330.97
138,FUR-038,Studio Furniture 38,3,145.27
139,FUR-039,Form Furniture 39,3,211.36
140,FUR-040,Studio Furniture 40,3,328.35
141,FUR-041,Harbor Furniture 41,3,277.93
142,FUR-042,Harbor Furniture 42,3,306.18
143,FUR-043,Studio Furniture 43,3,26.35
144,FUR-044,Form Furniture 44,3,414.64
145,FUR-045,Studio Furniture 45,3,74.7
146,FUR-046,Studio Furniture 46,3,359.12
147,FUR-047,Harbor Furniture 47,3,416.47
148,FUR-048,Harbor Furniture 48,3,22.11
149,FUR-049,Studio Furniture 49,3,158.06
150,FUR-050,Harbor Furniture 50,3,126.41
